"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Carlos Gomez","34","99","3","10","10","4","7.1 %","30.3 %",".140",".259",".198",".278",".337",".268","67","0.1","-4.2","-0.4","-0.1","4881"
"Adeiny Hechavarria","60","151","5","20","18","3","5.3 %","21.9 %",".155",".231",".204",".252",".359",".260","62","0.4","-7.3","0.8","-0.1","10459"
"Marcus Stroman","11","23","0","2","0","0","0.0 %","47.8 %",".000",".100",".048",".048",".048",".041","-81","0.0","-5.5","2.8","-0.2","13431"
"Ruben Tejada","6","9","0","1","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-2.5","0.1","-0.2","5519"
"Jason Vargas","19","31","0","0","0","0","0.0 %","51.6 %",".000",".167",".071",".071",".071",".062","-68","0.0","-6.9","3.8","-0.2","8044"
"Travis d'Arnaud","10","25","0","2","2","0","8.0 %","20.0 %",".000",".111",".087",".160",".087",".125","-27","-0.7","-4.9","1.5","-0.3","7739"
"Aaron Altherr","26","35","1","6","2","0","5.7 %","42.9 %",".129",".188",".129",".200",".258",".200","22","0.3","-3.3","-1.5","-0.4","11270"
"Keon Broxton","34","53","0","5","2","4","7.5 %","41.5 %",".020",".259",".143",".208",".163",".174","5","0.5","-6.1","-0.4","-0.5","9253"
"Tomas Nido","50","144","4","9","14","0","4.9 %","25.7 %",".125",".232",".191",".231",".316",".227","40","-2.4","-13.8","4.4","-0.5","13755"
"Juan Lagares","133","285","5","38","27","4","7.7 %","26.3 %",".112",".279",".213",".279",".326",".258","60","-0.5","-15.5","-1.7","-0.8","5384"
